Label,Precision,Recall,F1
None,0.6447368421052632,0.8909090909090909,0.7480916030534351
strategy,0.391304347826087,0.6136363636363636,0.47787610619469023
singleton,0.9230769230769231,0.8888888888888888,0.9056603773584906
adapter,0.7272727272727273,0.25,0.37209302325581395
observer,0.48717948717948717,0.48717948717948717,0.48717948717948717
factory,0.8571428571428571,0.23076923076923078,0.36363636363636365
decorator,0.8928571428571429,0.7575757575757576,0.819672131147541
