Label,Precision,Recall,F1
None,0.532258064516129,0.7857142857142857,0.6346153846153847
strategy,0.75,0.574468085106383,0.6506024096385542
singleton,0.925,0.8809523809523809,0.9024390243902439
adapter,0.2,0.35294117647058826,0.25531914893617025
observer,0.5757575757575758,0.41304347826086957,0.48101265822784817
factory,0.6666666666666666,0.43478260869565216,0.5263157894736841
decorator,0.85,0.8717948717948718,0.8607594936708861
